Building Name,Path,Certification date,City,State,Country,Rating system,Version,Certification level (name),Certification level (numeric)
Olney Library,http://www.usgbc.org/projects/olney-library,05/15/2015 12:00:00 AM,Olney,Maryland [MD],United States [us],New Construction,v2.2,Gold,2
Bel Pre ES,http://www.usgbc.org/projects/bel-pre-es,04/07/2015 12:00:00 AM,Silver Spring,Maryland [MD],United States [us],Schools - New Construction,v2009,Gold,2
Candlewood Elementary School,http://www.usgbc.org/projects/candlewood-elementary-school,04/07/2015 12:00:00 AM,Rockville,Maryland [MD],United States [us],Schools - New Construction,v2009,Silver,3
Herbert Hoover MS,http://www.usgbc.org/projects/herbert-hoover-ms,03/25/2015 12:00:00 AM,Potomac,Maryland [MD],United States [us],Schools - New Construction,v2007,Gold,2
Pike & Rose Block 12,http://www.usgbc.org/projects/pike-rose-block-12,03/23/2015 12:00:00 AM,Rockville,Maryland,United States,New Construction,v2009,Certified,4
Harris Teeter Store 409,http://www.usgbc.org/projects/harris-teeter-store-409,03/13/2015 12:00:00 AM,Clarksburg,Maryland,United States,Retail - New Construction,v2009,Certified,4
Fenwick Station,http://www.usgbc.org/projects/fenwick-station,03/13/2015 12:00:00 AM,Silver Spring,Maryland [MD],United States [us],New Construction,v2009,Gold,2
Saint Patricks Parish Center,http://www.usgbc.org/projects/saint-patricks-parish-center,03/11/2015 12:00:00 AM,Rockville,Maryland [MD],United States [us],New Construction,v2009,Certified,4
Wilson Wims Elementary School,http://www.usgbc.org/projects/wilson-wims-elementary-school,03/02/2015 12:00:00 AM,Clarksburg,Maryland [MD],United States [us],Schools - New Construction,v2009,Gold,2
Store 0469 Wheaton-Georgia Ave,http://www.usgbc.org/projects/store-0469-wheaton-georgia-ave,02/26/2015 12:00:00 AM,Silver Spring,Maryland [MD],United States [us],Existing Buildings,v2009,Gold,2
Store 0552 Bethesda-River Rd,http://www.usgbc.org/projects/store-0552-bethesda-river-rd,02/26/2015 12:00:00 AM,Bethesda,Maryland [MD],United States [us],Existing Buildings,v2009,Gold,2
Store 0493 Germantown-Wisteria Dr,http://www.usgbc.org/projects/store-0493-germantown-wisteria-dr,02/26/2015 12:00:00 AM,Germantown,Maryland [MD],United States [us],Existing Buildings,v2009,Gold,2
Wheaton Apartments,http://www.usgbc.org/projects/wheaton-apartments,02/06/2015 12:00:00 AM,Wheaton,Maryland [MD],United States [us],New Construction,v2009,Silver,3
The George Apartments,http://www.usgbc.org/projects/george-apartments,02/04/2015 12:00:00 AM,Silver Spring,Maryland [MD],United States [us],New Construction,v2009,Certified,4
SEED Homes at 5709 Lone Oak,http://www.usgbc.org/projects/seed-homes-5709-lone-oak,12/30/2014 12:00:00 AM,Bethesda,Maryland [MD],United States [us],Homes,v2008,Certified,4
Crown Farms Buildings A & B,http://www.usgbc.org/projects/crown-farms-buildings-b,01/08/2015 12:00:00 AM,Gaithersburg,Maryland [MD],United States [us],New Construction,v2.2,Certified,4
